Platform,Instrument,Imagery_Layer,Imagery_Product_Name,Image_Resolution,Sensor_Resolution,Format,Projection
CYGNSS,DDMI,Wind Speed (Daily) ,CYGNSS_L3_Wind_Speed_Daily,2km,,png,"Geographic, Web Mercator"
SAC-D,Aquarius,"Wind Speed (L3, Daily) ",2km,,png,"Geographic, Web Mercator",
SAC-D,Aquarius,"Wind Speed (L3, 7-Day Snapshot) ",2km,,png,"Geographic, Web Mercator",
DMSP-F8,SSMI,"Surface Wind Speed over Oceans (Ascending, Local AM)   ",SSMI_DMSP_F8_Wind_Speed_Over_Oceans_Ascending,2km,0.25 degrees,png,Geographic
DMSP-F8,SSMI,"  Surface Wind Speed over Oceans (Descending, Local PM)    ", SSMI_DMSP_F8_Wind_Speed_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F10,SSMI,"  SurfaceWind Speed over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F10_Wind_Speed_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F10,SSMI,"  Surface Wind Speed over Oceans (Descending, Local AM)    ", SSMI_DMSP_F8_Wind_Speed_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F11,SSMI,"  Surface Wind Speed over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F11_Wind_Speed_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F11,SSMI,"  Surface Wind Speed over Oceans (Descending, Local AM)    ", SSMI_DMSP_F11_Wind_Speed_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F13,SSMI,"  Surface Wind Speed over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F13_Wind_Speed_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F13,SSMI,"  Surface Wind Speed over Oceans (Descending, Local AM)    ", SSMI_DMSP_F13_Wind_Speed_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F14,SSMI,"  Surface Wind Speed over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F14_Wind_Speed_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F14,SSMI,"  Surface Wind Speed over Oceans (Descending, Local AM)    ", SSMI_DMSP_F14_Wind_Speed_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F15,SSMI,"  Surface Wind Speed over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F15_Wind_Speed_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F15,SSMI,"  Surface Wind Speed over Oceans (Descending, Local AM)    ", SSMI_DMSP_F15_Wind_Speed_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F16,SSMIS,"  Surface Wind Speed over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F16_Wind_Speed_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F16,SSMIS,"  Surface Wind Speed over Oceans (Descending, Local AM)    ", SSMI_DMSP_F16_Wind_Speed_Over_Oceans_Descending ,2km,0.25 degrees,png,Geographic
DMSP-F17,SSMIS,"  Surface Wind Speed over Oceans (Ascending, Local PM)    ", SSMI_DMSP_F17_Wind_Speed_Over_Oceans_Ascending ,2km,0.25 degrees,png,Geographic
DMSP-F17,SSMIS,"  Surface Wind Speed over Oceans (Descending, Local AM)     SSMI_DMSP_F17_Wind_Speed_Over_Oceans_Descending",2km,0.25 degrees,png,Geographic,
,Merged Microwave Radiometers,"Wind Speed over Ice-Free Oceans (Monthly, Average) ",RSS_Merged_Wind_Climatology_Monthly,2km,1 degree,png,Geographic
,CCMP," CCMP Meridional Mean Wind Velocity (Vector, Monthly) ",  CCMP_REMSS_Meridional_Wind_Speed_Monthly  , 2 km,, png,"Geographic, Web Mercator"
,CCMP," CCMP Mean Wind Speed (Scalar, Monthly) ",  CCMP_REMSS_Scalar_Wind_Speed_Monthly  ,2 km ,,png ,"Geographic, Web Mercator"
,CCMP," CCMP Zonal Mean Wind Velocity (Vector, Monthly) ",  CCMP_REMSS_Zonal_Wind_Speed_Monthly  ,2 km ,,png ,"Geographic, Web Mercator"
,MERRA-2,Surface Wind Speed (Monthly) MERRA2_Surface_Wind_Speed_Monthly,2 km,,png,"Geographic, Web Mercator",
Aqua,AMSR-E,MEaSUREs_Daily_Landscape_Freeze_Thaw_AMSRE,2km,25km,png,"Geographic, Web Mercator",
DMSP,SSM/I,MEaSUREs_Daily_Landscape_Freeze_Thaw_SSMI,2km,25km,png,"Geographic, Web Mercator",
SMAP,Radar,"Freeze/Thaw 3 km (L3, Active, Day)",SMAP_L3_Active_Day_Freeze_Thaw,2km,3km,png,Arctic
SMAP,Radiometer,"Freeze/Thaw 36 km (L3, Passive, Day) ",SMAP_L3_Passive_Day_Freeze_Thaw,1km,36km,png,"Geographic, Web Mercator, Arctic"
SMAP,Radiometer,"Freeze/Thaw 36 km (L3, Passive, Night) ",SMAP_L3_Passive_Night_Freeze_Thaw,1km,36km,png,"Geographic, Web Mercator, Arctic"
SMAP,Radiometer,"Freeze/Thaw 9 km (L3, Passive, Day) ",SMAP_L3_Passive_Enhanced_Day_Freeze_Thaw,1km,9km,png,"Geographic, Web Mercator, Arctic"
SMAP,Radiometer,"Freeze/Thaw 9 km (L3, Passive, Night) ",SMAP_L3_Passive_Enhanced_Night_Freeze_Thaw,1km,9km,png,"Geographic, Web Mercator, Arctic"
SMAP,Model Value-Added,"Percent Frozen Area (L4, 9km Grid Cell Coverage)    ",SMAP_L4_Frozen_Area,8km, 9km,png,"Geographic, Web Mercator"
Terra,MODIS,Ice Surface Temperature (Day) ,MODIS_Terra_Ice_Surface_Temp_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,Ice Surface Temperature (Night) ,MODIS_Terra_Ice_Surface_Temp_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Ice Surface Temperature (L3, Daily, Day)",MODIS_Terra_L3_Ice_Surface_Temp_Daily_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Ice Surface Temperature (L3, Daily, Night)",MODIS_Terra_L3_Ice_Surface_Temp_Daily_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,Ice Surface Temperature (Day) ,MODIS_Aqua_Ice_Surface_Temp_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,Ice Surface Temperature (Night) ,MODIS_Aqua_Ice_Surface_Temp_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Ice Surface Temperature (L3, Daily, Day)",MODIS_Aqua_L3_Ice_Surface_Temp_Daily_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Ice Surface Temperature (L3, Daily, Night)",MODIS_Aqua_L3_Ice_Surface_Temp_Daily_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
"ALOS, RADARSAT-1, TSX","PALSAR, SAR",Ice Velocity (Greenland) ,MEaSUREs_Ice_Velocity_Greenland,500m,500m,png,Arctic
"ALOS, ENVISAT, ERS-1, ERS-2, RADARSAT-1, RADARSAT-2","PALSAR, ASAR, SAR",Ice Velocity (Antarctica) ,MEaSUREs_Ice_Velocity_Antarctica,500m,500m,png,Antarctic
Terra,MODIS,Sea Ice   ,MODIS_Terra_Sea_Ice,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,Sea Ice   ,MODIS_Aqua_Sea_Ice,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Sea Ice Extent (L3, Daily) ",MODIS_Terra_L3_Sea_Ice_Daily,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Sea Ice Extent (L3, Daily) ",MODIS_Aqua_L3_Sea_Ice_Daily,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,AMSR-E,Sea Ice Concentration 12 km    ,AMSRE_Sea_Ice_Concentration_12km ,2km,12.5km,png,"Geographic, Web Mercator, Polar"
Aqua,AMSR-E,Sea Ice Concentration 25 km   ,AMSRE_Sea_Ice_Concentration_25km,2km,25km,png,"Geographic, Web Mercator, Polar"
GCOM-W1,AMSR2,Sea Ice Concentration 12 km   ,AMSR2_Sea_Ice_Concentration_12km,2km,12.5km,png,"Geographic, Web Mercator, Polar"
GCOM-W1,AMSR2,Sea Ice Concentration 25 km    , AMSR2_Sea_Ice_Concentration_25km ,2km,25km,png,"Geographic, Web Mercator, Polar"
Aqua,AMSR-E,Brightness Temperature for Sea Ice 89H Ghz   ,AMSRE_Sea_Ice_Brightness_Temp_89H,2km,6.25km,png,"Geographic, Web Mercator, Polar"
Aqua,AMSR-E,Brightness Temperature for  Sea Ice 89V Ghz    , AMSRE_Sea_Ice_Brightness_Temp_89V ,2km,6.25km,png,"Geographic, Web Mercator, Polar"
GCOM-W1,AMSR2,Brightness Temperature for  Sea Ice 89H Ghz    , AMSR2_Sea_Ice_Brightness_Temp_6km_89H ,2km,6.25km,png,"Geographic, Web Mercator, Polar"
GCOM-W1,AMSR2,Brightness Temperature for  Sea Ice 89V Ghz    , AMSR2_Sea_Ice_Brightness_Temp_6km_89V ,2km,6.25km,png,"Geographic, Web Mercator, Polar"
"NIMBUS-7, DMSP 5D-2 F8, DMSP 5D-2 F11, DMSP 5D-2 F13, DMSP 5D-3 F17, DMSP 5D-3 F17, DMSP 5D-3 F18"," SSMR, SSMI,   SSMIS",Sea Ice Concentration ,SSMIS_Sea_Ice_Concentration,1km,25km,png,Polar
"DMSP 5D-2 F13, DMSP 5D-3 F17, Terra","SSMI, SSMIS, MODIS",Sea Ice and Snow Extent ,MEaSUREs_Sea_Ice_Snow_Extent,1km,2km,png,Polar
DMSP 5D-3 F17,SSMIS, Sea Ice Concentration and Snow Extent ,SSMIS_Sea_Ice_Concentration_Snow_Extent,1km,,png,Polar
Multi-mission,GHRSST,"Sea Ice Concentration (L4, MUR)",GHRSST_L4_MUR_Sea_Ice_Concentration,1km,,png,
Multi-mission,GHRSST,"Sea Ice Concentration (L4, MUR25)",GHRSST_L4_MUR25_Sea_Ice_Concentration,2km,,png,
Multi-mission,GHRSST,"Sea Ice Concentration (L4, GAMSSA GDS2)",GHRSST_L4_GAMSSA_GDS2_Sea_Ice_Concentration,2km,,png,
Terra,MODIS,Snow Cover (Normalized Difference Snow Index) ,MODIS_Terra_NDSI_Snow_Cover,500m,500m,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,Snow Cover (Normalized Difference Snow Index) , MODIS_Aqua_NDSI_Snow_Cover ,500m,500m,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Snow Cover (Normalized Difference Snow Index, L3, Daily) ",MODIS_Terra_L3_NDSI_Snow_Cover_Daily,500m,500m,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Snow Cover (Normalized Difference Snow Index, L3, Daily) ",MODIS_Aqua_L3_NDSI_Snow_Cover_Daily,500m,500m,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Snow Extent (L3, 8-Day) ",MODIS_Terra_L3_Snow_Extent_8Day,500m,500m,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Snow Extent (L3, 8-Day) ",MODIS_Aqua_L3_Snow_Extent_8Day,500m,500m,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Days with Snow Cover (L3, Monthly, Average Percent) ",MODIS_Terra_L3_Snow_Cover_Monthly_Average_Pct,2km,0.05 deg x 0.05 degrees,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Days with Snow Cover (L3, Monthly, Average Percent) ",MODIS_Aqua_L3_Snow_Cover_Monthly_Average_Pct,2km,0.05 deg x 0.05 degrees,png,"Geographic, Web Mercator, Polar"
,,"Snow Depth Over Ice, 12km ",AMSRE_Snow_Depth_Over_Ice,2km,12.5km,png,"Geographic, Web Mercator, Polar"
,MERRA-2,Snow Depth Over Glaciated Surface (Monthly) ,MERRA2_Snow_Depth_Over_Glaciated_Surface_Monthly,2km,,png,"Geographic, Web Mercator"
SMAP,Model Value-Added,"Snow Mass (L4, 12z-3z Average)    ",SMAP_L4_Snow_Mass,2km,9km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,AMSRU2_Snow_Water_Equivalent_Daily,2km,25km,png,"Geographic, Web Mercator, Arctic",
GCOM-W1,AMSR2,"Snow Water Equivalent (25 km, 5 Day) ",AMSRU2_Snow_Water_Equivalent_5Day,2km,25km,png,"Geographic, Web Mercator, Arctic"
GCOM-W1,AMSR2,"Snow Water Equivalent (25 km, Monthly) ",AMSRU2_Snow_Water_Equivalent_Monthly,2km,25km,png,"Geographic, Web Mercator, Arctic"
,MERRA-2,Surface Albedo ,MERRA2_Surface_Albedo_Monthly,2km,,png,"Geographic, Web Mercator"
Terra and Aqua,MODIS,"White Sky Albedo (L3, Daily) ",MODIS_Combined_L3_White_Sky_Albedo_Daily,2km,500 m,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature (L1, Passive, Aft, H Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Aft_H,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature (L1, Passive, Fore, H Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Fore_H,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature (L1, Passive, Aft, V Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Aft_V,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature (L1, Passive, Fore, V Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Fore_V,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature RFI (L1, Passive, Aft, H Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Aft_H_RFI,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature RFI (L1, Passive, Fore, H Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Fore_H_RFI,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature RFI (L1, Passive, Aft, V Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Aft_V_RFI,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature RFI (L1, Passive, Fore, V Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Fore_V_RFI,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature QA (L1, Passive, Aft, H Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Aft_H_QA,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature QA (L1, Passive, Fore, H Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Fore_H_QA,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature QA (L1, Passive, Aft, V Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Aft_V_QA,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature QA (L1, Passive, Fore, V Polarization)   ",SMAP_L1_Passive_Brightness_Temp_Fore_V_QA,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature (L1, Passive Enhanced, Aft, H Polarization) ",SMAP_L1_Passive_Enhanced_Brightness_Temp_Aft_H,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature (L1, Passive Enhanced, Fore, H Polarization) ",SMAP_L1_Passive_Enhanced_Brightness_Temp_Fore_H,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature (L1, Passive Enhanced, Aft, V Polarization) ",SMAP_L1_Passive_ Enhanced_ Brightness_Temp_Aft_V,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature (L1, Passive Enhanced, Fore, V Polarization) ",SMAP_L1_Passive_Enhanced_Brightness_Temp_Fore_V,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature RFI (L1, Passive Enhanced, Aft, H Polarization) ",SMAP_L1_Passive_Enhanced_Brightness_Temp_Aft_H_RFI,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature RFI (L1, Passive Enhanced, Fore, H Polarization) ",SMAP_L1_Passive_Enhanced_Brightness_Temp_Fore_H_RFI,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature RFI (L1, Passive Enhanced, Aft, V Polarization) ",SMAP_L1_Passive_Enhanced_Brightness_Temp_Aft_V_RFI,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature RFI (L1, Passive Enhanced, Fore, V Polarization) ",SMAP_L1_Passive_Enhanced_Brightness_Temp_Fore_V_RFI,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature QA (L1, Passive Enhanced, Aft, H Polarization) ",SMAP_L1_Passive_Enhanced_Brightness_Temp_Aft_H_QA,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature QA (L1, Passive Enhanced, Fore, H Polarization) ",SMAP_L1_Passive_Enhanced_Brightness_Temp_Fore_H_QA,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature QA (L1, Passive Enhanced, Aft, V Polarization) ",SMAP_L1_Passive_Enhanced_Brightness_Temp_Aft_V_QA,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Uncorrected Brightness Temperature QA (L1, Passive Enhanced, Fore, V Polarization) ",SMAP_L1_Passive_Enhanced_Brightness_Temp_Fore_V_QA,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Corrected Brightness Temperature (L3, Passive, H Polarization) ",SMAP_L3_Passive_Brightness_Temp_H,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Corrected Brightness Temperature (L3, Passive, V Polarization) ",SMAP_L3_Passive_Brightness_Temp_V,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radar + Radiometer,"Disaggregated Brightness Temperature (L3, Active/Passive, H Polarization)   ",SMAP_L3_Active_Passive_Brightness_Temp_H,2km,9km,png,"Geographic, Web Mercator"
SMAP,Radar + Radiometer,"Disaggregated Brightness Temperature (L3, Active/Passive, V Polarization)   ",SMAP_L3_Active_Passive_Brightness_Temp_V,2km,9km,png,"Geographic, Web Mercator"
ASTER,Terra,Global Digital Elevation Model (GDEM) Color Index   ,ASTER_GDEM_Color_Index,31.25m,30m,png,Geographic
ASTER,Terra,Global Digital Elevation Model (GDEM) Color Shaded Relief   ,ASTER_GDEM_Color_Shaded_Relief,31.25m,30m,jpeg,Geographic
ASTER,Terra,Global Digital Elevation Model (GDEM)  Greyscale Shaded Relief  ,ASTER_GDEM_Greyscale_Shaded_Relief,31.25m,30m,jpeg,Geographic
STS-99,Space Shuttle Endeavour,Shuttle Radar Topography Mission (SRTM) Color Index   ,SRTM_Color_Index,31.25m,30m,png,Geographic
,MERRA-2,Evaporation over Land ,MERRA2_Evaporation_Land_Monthly,2km,,png,"Geographic, Web Mercator"
Terra,MODIS,"Gross Primary Production (L4, 8-Day) ",MODIS_Terra_L4_Gross_Primary_Productivity_8Day,500m,500m,png,"Geographic, Web Mercator"
Aqua,MODIS,"Gross Primary Production (L4, 8-Day) ",MODIS_Aqua_L4_Gross_Primary_Productivity_8Day,500m,500m,png,"Geographic, Web Mercator"
SMAP,Model Value-Added,"Gross Primary Production (L4, 9km Grid Cell Mean)   ",SMAP_L4_Mean_Gross_Primary_Productivity,2km,9km,png,"Geographic, Web Mercator"
SMAP,Model Value-Added,"Heterotrophic Respiration (L4, 9km Grid Cell Mean)   ",SMAP_L4_Mean_Heterotrophic_Respiration,2km,9km,png,"Geographic, Web Mercator"
,MERRA-2,Incident Shortwave over Land ,MERRA2_Incident_Shortwave_Over_Land_Monthly,2km,,png,"Geographic, Web Mercator"
Terra and Aqua,MODIS,"Land Cover Type (L3, IGBP, Yearly) ",MODIS_Combined_L3_IGBP_Land_Cover_Type_Annual,500m,500m,png,"Geographic, Web Mercator"
,,Croplands ,Agricultural_Lands_Croplands_2000,10km,,png,"Geographic, Web Mercator"
,,Pastures ,Agricultural_Lands_Pastures_2000,10km,,png,"Geographic, Web Mercator"
,,Anthropogenic Biomes ,Anthropogenic_Biomes_of_the_World_2001-2006,10km,,png,"Geographic, Web Mercator"
Terra,MODIS,Land Surface Temperature (Day)   ,MODIS_Terra_Land_Surface_Temp_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,Land Surface Temperature (Night)  ,MODIS_Terra_Land_Surface_Temp_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Land Surface Temperature (L3, Daily, Day) ",MODIS_Terra_L3_Land_Surface_Temp_Daily_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Land Surface Temperature (L3, Daily, Night) ",MODIS_Terra_L3_Land_Surface_Temp_Daily_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Land Surface Temperature (L3, 8-Day, Day) ",MODIS_Terra_L3_Land_Surface_Temp_8Day_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Land Surface Temperature (L3, 8-Day, Night) ",MODIS_Terra_L3_Land_Surface_Temp_8Day_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Land Surface Temperature (L3, Monthly, Day) ",MODIS_Terra_L3_Land_Surface_Temp_Monthly_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Land Surface Temperature (L3, Monthly, Night) ",MODIS_Terra_L3_Land_Surface_Temp_Monthly_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,Land Surface Temperature (Day)  ,MODIS_Aqua_Land_Surface_Temp_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,Land Surface Temperature (Night)  ,MODIS_Aqua_Land_Surface_Temp_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Land Surface Temperature (L3, Daily, Day) ",MODIS_Aqua_L3_Land_Surface_Temp_Daily_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Land Surface Temperature (L3, Daily, Night) ",MODIS_Aqua_L3_Land_Surface_Temp_Daily_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Land Surface Temperature (L3, 8-Day, Day) ",MODIS_Aqua_L3_Land_Surface_Temp_8Day_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Land Surface Temperature (L3, 8-Day, Night) ",MODIS_Aqua_L3_Land_Surface_Temp_8Day_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Land Surface Temperature (L3, Monthly, Day) ",MODIS_Aqua_L3_Land_Surface_Temp_Monthly_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Land Surface Temperature (L3, Monthly, Night) ",MODIS_Aqua_L3_Land_Surface_Temp_Monthly_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
,,Average Summer Daytime Maximum Land Surface Temperature ,UHI_Avg_Summer_Day_Max_Land_Surface_Temp_2013,1km,,png,"Geographic, Web Mercator"
,,Summer Daytime Urban-Rural Land Surface Temperature Difference ,UHI_Urban-Rural_Summer_Day_Max_Land_Surface_Temp_Difference_2013,1km,,png,"Geographic, Web Mercator"
,,Average Summer Nighttime Minimum Land Surface Temperature ,UHI_Avg_Summer_Night_Min_Land_Surface_Temp_2013,1km,,png,"Geographic, Web Mercator"
,,Summer Nighttime Urban-Rural Land Surface Temperature ,UHI_Urban-Rural_Summer_Night_Min_Land_Surface_Temp_Difference_2013,1km,,png,"Geographic, Web Mercator"
,,Summer Daytime Maximum Land Surface Temperature ,Summer_Day_Max_Land_Surface_Temp_2013,1km,,png,"Geographic, Web Mercator"
,,Summer Nighttime Minimum Land Surface Temperature ,Summer_Night_Min_Land_Surface_Temp_2013,1km,,png,"Geographic, Web Mercator"
Terra and Aqua,MODIS,"MAIAC Isotropic Kernel Parameters (RTLS Model, 8-Day)",MODIS_Combined_MAIAC_L3_IsotropicKernelParameters_8Day,500m,500m,png,"Geographic, Web Mercator"
SMAP,Model Value-Added,"Net Ecosystem CO2 Exchange (L4, 9km Grid Cell Mean)   ",SMAP_L4_Mean_Net_Ecosystem_Exchange,2km, 9km,png,"Geographic, Web Mercator"
SMAP,Model Value-Added,"Net Ecosystem CO2 Exchange Uncertainty (L4, 9km Grid Cell Mean)   ",SMAP_L4_Uncertainty_Mean_Net_Ecosystem_Exchange,2km,9km,png,"Geographic, Web Mercator"
Terra and Aqua,MODIS,"Fraction of Photosynthetically Active Radiation (L4, 4-Day)",MODIS_Combined_L4_FPAR_4Day,500m,500m,png,"Geographic, Web Mercator"
Terra and Aqua,MODIS,"Fraction of Photosynthetically Active Radiation (L4, 8-Day)",MODIS_Combined_L4_FPAR_8Day,500m,500m,png,"Geographic, Web Mercator"
Terra,MODIS,"Fraction of Photosynthetically Active Radiation (L4, 8-Day)",MODIS_Terra_L4_FPAR_8Day,500m,500m,png,"Geographic, Web Mercator"
Aqua,MODIS,"Fraction of Photosynthetically Active Radiation (L4, 8-Day)",MODIS_Aqua_L4_FPAR_8Day,500m,500m,png,"Geographic, Web Mercator"
Terra,MODIS,"Net Photosynthesis (L4, 8-Day)",MODIS_Terra_L4_Net_Photosynthesis_8Day,500m,500m,png,"Geographic, Web Mercator"
Aqua,MODIS,"Net Photosynthesis (L4, 8-Day)",MODIS_Aqua_L4_Net_Photosynthesis_8Day,500m,500m,png,"Geographic, Web Mercator"
SAC-D,Aquarius,Soil Moisture,Aquarius_Soil_Moisture_Daily,2km,1 degree,png,Geographic
SAC-D,Aquarius,Soil Moisture,Aquarius_Soil_Moisture_Weekly,2km,1 degree,png,Geographic
GCOM-W1,AMSR2,"Soil Moisture (Normalized Polarization Difference, Day)",AMSRU2_Soil_Moisture_NPD_Day,2km,25km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,"Soil Moisture (Normalized Polarization Difference, Night)", AMSRU2_Soil_Moisture_NPD_Night ,2km,25km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,"Soil Moisture (Single Channel Algorithm, Day)", AMSRU2_Soil_Moisture_SCA_Day ,2km,25km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2,"Soil Moisture (Single Channel Algorithm, Night)", AMSRU2_Soil_Moisture_SCA_Night ,2km,25km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2 LPRM,"Surface Soil Moisture C1-band (Day, Daily)   ",LPRM_AMSR2_Surface_Soil_Moisture_C1_Band_Day_Daily,2km,25km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2 LPRM,"Surface Soil Moisture C1-band (Night, Daily)    ",LPRM_AMSR2_Surface_Soil_Moisture_C1_Band_Night_Daily,2km,25km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2 LPRM,"Surface Soil Moisture C1-band (Downscaled, Day, Daily)   ",LPRM_AMSR2_Downscaled_Surface_Soil_Moisture_C1_Band_Day_Daily,2km,10km,png,"Geographic, Web Mercator"
GCOM-W1,AMSR2 LPRM,"Surface Soil Moisture C1-band (Downscaled, Night, Daily)   ",LPRM_AMSR2_Downscaled_Surface_Soil_Moisture_C1_Band_Night_Daily,2km,10km,png,"Geographic, Web Mercator"
